"Klarna","Klarna"
"General","General"
"Credentials","Credentials"
"API Version","API Version"
"Merchant ID","Merchant ID"
"Shared secret","Shared secret"
"Order Management","Order Management"
"Test Mode","Test Mode"
"Debug Mode","Debug Mode"
"Should not be enabled in production. Sensitive information is logged.","Should not be enabled in production. Sensitive information is logged."
"Disabled","Disabled"
"No API Versions Available","No API Versions Available"
"Discount (%s)","Discount (%s)"
"Discount","Discount"
"Object model is not defined.","Object model is not defined."
"The order item model should be extended from Klarna_Core_Model_Api_Builder_Orderline_Abstract.","The order item model should be extended from Klarna_Core_Model_Api_Builder_Orderline_Abstract."
"Sales Tax","Sales Tax"
"Order processed by Klarna.","Order processed by Klarna."
"Bad request","Bad request"
"v3 North America","v3 North America"
"v3 Europe","v3 Europe"
"Suspected Fraud: DO NOT SHIP. If already shipped, please attempt to stop the carrier from delivering.","Suspected Fraud: DO NOT SHIP. If already shipped, please attempt to stop the carrier from delivering."
